Brand;Fragrance;Tier;Gender;Top Notes;Middle Notes;Base Notes;Accords;Rating;Rating Count
A Lab On Fire;Rose Rebelle Respawn;Statement;women;Ivy and Mint;Rose and Carnation;Cacao, Musk and Incense;warm spicy, cacao, green, rose, floral;3.69;132.0
A Lab On Fire;My Own Private Teahupo'o;Statement;unisex;Sea Salt and Ozonic notes;Frangipani and Amyl Salicylate;Tahitian Vanilla and Amber;vanilla, floral, salty, ozonic, tropical;3.93;89.0
A Lab On Fire;Liquidnight;Safe, Statement, Wildcard;unisex;Saffron, Lime and Bergamot;Hinoki Wood, Lavender and Sage;Incense, Vanilla and Musk;aromatic, woody, fresh spicy, citrus, amber;4.15;289.0
A Lab On Fire;Hossegor;Statement, Wildcard;unisex;Juniper, Sea Salt, Black Pepper and Mastic or Lentisque;Solar Notes, Clary Sage, Orris and Olibanum;Sea Notes, Woodsy Notes, Ambergris, Ambroxan, Vetiver and Musk;aromatic, woody, marine, fresh spicy, salty;4.25;91.0
A Lab On Fire;Hallucinogenic Pearl;Statement;unisex;Ambrette (Musk Mallow), Pink Pepper and Bergamot;Violet and Orris;Suede, Musk and White Wood;powdery, musky, leather, violet, woody;3.68;148.0
A Lab On Fire;Almost Transparent Blue;Statement, Wildcard;unisex;;;;citrus, aromatic, woody, fresh spicy, aldehydic;3.83;157.0
Aaron Terence Hughes;Raw Cherry Extreme;Wildcard;unisex;Sour Cherry and Bergamot;Dark Chocolate, Ambrette, Plum, Tonka and Bourbon Vanilla;Patchouli, Guaiac Wood, Ylang-Ylang, Oud, Nutmeg, Sandalwood and Benzoin;woody, patchouli, sweet, yellow floral, warm spicy;4.41;32.0
Aaron Terence Hughes;Slut;Statement;unisex;Neroli, Sweet Orange, Lemon and Bergamot;Petitgrain and Jasmine Sambac;Musk, Patchouli and Amber;citrus, white floral, musky, fresh spicy, aromatic;3.69;283.0
Aaron Terence Hughes;Slut Ãlixir;Statement;unisex;Peppermint, Blood Mandarin, Lavender and Lemon;Tonka, Vanilla, Plum, Peach, Amber, Apple and Rhubarb;White Musk, Sandalwood, Cedarwood and Patchouli;woody, vanilla, powdery, fruity, aromatic;4.42;78.0
Aaron Terence Hughes;Supernova;Statement, Wildcard;unisex;Grapefruit, Bergamot, Mandarin Orange and Orange;Pineapple, Sea Notes and Apple;Ambergris, Ginger, Oakmoss, Patchouli and White Musk;citrus, fruity, warm spicy, sweet, fresh;4.35;107.0
Aaron Terence Hughes;Supersonic;Statement;men;Grapefruit, Bergamot, Lemon and Sweet Orange;Pineapple, Apple and Sea Notes;White Musk, Patchouli, Ambergris, Oakmoss, Ginger and Haitian Vetiver;citrus, fruity, aromatic, fresh, sweet;4.46;35.0
Aaron Terence Hughes;Oud;Statement, Wildcard;unisex;;Amber and Damask Rose;Agarwood (Oud), Patchouli, Musk and Animal notes;oud, patchouli, musky, animalic, amber;4.02;131.0
Aaron Terence Hughes;Boss Bitch;Statement;women;Peach, Coconut, Oud and Neroli;Chocolate, Jasmine Sambac, Cherry and Rose;Vanilla Absolute, Oud, Patchouli, Ambergris, Musk and Sandalwood;sweet, vanilla, white floral, cherry, chocolate;4.37;30.0
Aaron Terence Hughes;Raw Cherry;Statement;unisex;Sour Cherry, Cherry Liqueur, Lemon and Mandarin Orange;Woodsy Notes, Tonka Bean and Dark Chocolate;Vanilla, Thailand Oud, Amaretto, Nutmeg and Damask Rose;sweet, vanilla, cherry, woody, almond;4.03;183.0
Aaron Terence Hughes;Tobacco, Oud And Vanilla;Statement, Wildcard;unisex;;Tobacco, Madagascar Vanilla and Turkish Rose;Agarwood (Oud) and Cedar;tobacco, oud, vanilla, sweet, rose;4.25;143.0
Aaron Terence Hughes;Santal Extreme;Statement, Wildcard;unisex;;Sandalwood and Rose;Australian Sandalwood, Sandalwood, Patchouli, Vanilla, Musk and Tonka Bean;woody, powdery, warm spicy, vanilla, patchouli;3.93;98.0
Aaron Terence Hughes;Ath X Fm Smoulder;Wildcard;unisex;Neroli and Lemon;Olibanum and Tobacco;Olibanum, Sandalwood, Patchouli and Skin;woody, amber, warm spicy, fresh spicy, citrus;4.06;33.0
